######################### Start train #########################
Tot_step: 100697 	 | Episode: 1380 	 | Time: 124.65 	 | Reward : 656.036 	 | actor_loss : -131.020 	 | critic_loss : 47.821
Tot_step: 103665 	 | Episode: 1400 	 | Time: 148.40 	 | Reward : 770.132 	 | actor_loss : -131.825 	 | critic_loss : 47.350
Tot_step: 106800 	 | Episode: 1420 	 | Time: 156.75 	 | Reward : 812.792 	 | actor_loss : -133.005 	 | critic_loss : 48.285
Tot_step: 110042 	 | Episode: 1440 	 | Time: 162.10 	 | Reward : 835.289 	 | actor_loss : -134.375 	 | critic_loss : 47.722
Tot_step: 113309 	 | Episode: 1460 	 | Time: 163.35 	 | Reward : 832.782 	 | actor_loss : -135.892 	 | critic_loss : 48.293
Tot_step: 116337 	 | Episode: 1480 	 | Time: 151.40 	 | Reward : 784.310 	 | actor_loss : -137.295 	 | critic_loss : 48.525
Tot_step: 119253 	 | Episode: 1500 	 | Time: 145.80 	 | Reward : 743.472 	 | actor_loss : -139.122 	 | critic_loss : 49.061
Tot_step: 122466 	 | Episode: 1520 	 | Time: 160.65 	 | Reward : 812.268 	 | actor_loss : -140.243 	 | critic_loss : 49.657
Tot_step: 125684 	 | Episode: 1540 	 | Time: 160.90 	 | Reward : 801.741 	 | actor_loss : -141.009 	 | critic_loss : 49.986
Tot_step: 128940 	 | Episode: 1560 	 | Time: 162.80 	 | Reward : 815.244 	 | actor_loss : -141.899 	 | critic_loss : 51.416
Tot_step: 132356 	 | Episode: 1580 	 | Time: 170.80 	 | Reward : 869.408 	 | actor_loss : -142.647 	 | critic_loss : 51.849
Tot_step: 135450 	 | Episode: 1600 	 | Time: 154.70 	 | Reward : 786.780 	 | actor_loss : -143.753 	 | critic_loss : 52.315
Tot_step: 139020 	 | Episode: 1620 	 | Time: 178.50 	 | Reward : 907.757 	 | actor_loss : -144.780 	 | critic_loss : 52.916
Tot_step: 142873 	 | Episode: 1640 	 | Time: 192.65 	 | Reward : 980.030 	 | actor_loss : -145.932 	 | critic_loss : 54.171
Tot_step: 146358 	 | Episode: 1660 	 | Time: 174.25 	 | Reward : 875.448 	 | actor_loss : -146.485 	 | critic_loss : 54.104
Tot_step: 149403 	 | Episode: 1680 	 | Time: 152.25 	 | Reward : 763.284 	 | actor_loss : -146.789 	 | critic_loss : 53.959
Tot_step: 153156 	 | Episode: 1700 	 | Time: 187.65 	 | Reward : 922.710 	 | actor_loss : -146.965 	 | critic_loss : 54.481
Tot_step: 156799 	 | Episode: 1720 	 | Time: 182.15 	 | Reward : 925.493 	 | actor_loss : -147.557 	 | critic_loss : 54.430
Tot_step: 160607 	 | Episode: 1740 	 | Time: 190.40 	 | Reward : 965.198 	 | actor_loss : -148.337 	 | critic_loss : 54.128
Tot_step: 164435 	 | Episode: 1760 	 | Time: 191.40 	 | Reward : 996.012 	 | actor_loss : -149.257 	 | critic_loss : 53.472
Tot_step: 168314 	 | Episode: 1780 	 | Time: 193.95 	 | Reward : 1000.280 	 | actor_loss : -150.234 	 | critic_loss : 53.775
Tot_step: 172064 	 | Episode: 1800 	 | Time: 187.50 	 | Reward : 974.320 	 | actor_loss : -151.568 	 | critic_loss : 53.349
Tot_step: 175713 	 | Episode: 1820 	 | Time: 182.45 	 | Reward : 930.861 	 | actor_loss : -152.684 	 | critic_loss : 52.985
Tot_step: 179423 	 | Episode: 1840 	 | Time: 185.50 	 | Reward : 953.417 	 | actor_loss : -153.350 	 | critic_loss : 53.182
Tot_step: 183993 	 | Episode: 1860 	 | Time: 228.50 	 | Reward : 1164.417 	 | actor_loss : -154.688 	 | critic_loss : 53.316
Tot_step: 188866 	 | Episode: 1880 	 | Time: 243.65 	 | Reward : 1232.106 	 | actor_loss : -156.288 	 | critic_loss : 53.402
Tot_step: 194857 	 | Episode: 1900 	 | Time: 299.55 	 | Reward : 1537.991 	 | actor_loss : -158.300 	 | critic_loss : 54.121
